0.0133779,464,677,reset
0.0274337,465,677,reset
0.0414894,466,677,reset
0.0267559,467,676,reset
0.0555452,467,677,reset
0.0408117,468,676,reset
0.069601,468,677,reset
0.0260781,469,675,reset
0.0548674,469,676,reset
0.0836567,469,677,reset
0.0401338,470,675,reset
0.0689232,470,676,reset
0.0977125,470,677,reset
0.0541896,471,675,reset
0.0829789,471,676,reset
0.111768,471,677,reset
0.039456,472,674,reset
0.0682454,472,675,reset
0.0970346,472,676,reset
0.125824,472,677,reset
0.0535118,473,674,reset
0.0823011,473,675,reset
0.11109,473,676,reset
0.13988,473,677,
0.0675676,474,674,reset
0.0963568,474,675,reset
0.052834,475,673,reset
0.0816233,475,674,reset
0.0668897,476,673,reset
